set_,Background,Animals,Asphalt,Cat's eyes,Cracks,Dirt road,Ego,Hard sand,Markings,Obstacles,People,Potholes,Retaining walls,Soft sand,Speed bump,Vehicles,Wet sand,model,train,eval
val,97.4,0.0,83.6,0.8,0.0,83.5,90.0,65.0,36.2,0.0,35.5,32.0,51.0,54.8,0.0,79.0,45.5,m2f,256,256
train,98.6,32.5,87.5,13.8,19.4,93.1,93.0,93.6,34.7,49.7,60.6,61.6,55.1,86.8,84.9,83.9,83.2,m2f,256,256
val,97.6,8.6,87.3,2.6,0.0,79.6,91.7,69.7,48.0,0.0,37.6,10.6,42.9,49.5,10.2,83.4,42.6,m2f,256,512
train,98.5,22.5,91.1,12.5,11.5,89.2,94.8,93.9,46.6,41.9,66.5,22.0,63.3,76.4,88.1,88.4,75.6,m2f,256,512
val,96.4,14.7,84.3,1.1,0.0,67.7,72.6,59.5,44.1,19.4,41.0,1.5,18.3,35.1,3.2,75.9,24.0,m2f,256,1024
train,97.3,4.7,88.9,3.8,2.7,71.2,78.7,85.0,45.5,25.7,62.9,2.1,28.3,51.3,76.0,77.9,39.1,m2f,256,1024
val,94.1,8.4,75.9,3.8,0.0,49.1,39.2,56.1,31.4,14.7,31.1,0.0,10.7,25.4,3.1,64.0,11.7,m2f,256,1536
train,94.9,0.0,80.2,1.8,0.1,50.2,39.7,72.0,34.1,18.5,55.1,0.1,15.4,34.2,0.0,65.8,18.3,m2f,256,1536
val,93.0,0.0,71.0,1.1,0.0,29.3,27.1,44.7,19.2,9.7,24.9,0.0,8.0,22.0,0.0,59.0,7.2,m2f,256,2048
train,93.7,0.0,72.6,1.1,0.2,36.1,27.5,47.3,22.9,14.7,41.6,0.0,12.1,30.2,0.0,58.1,10.9,m2f,256,2048
val,97.5,0.0,83.2,9.9,0.0,81.6,90.1,66.2,34.4,7.2,39.9,41.2,60.9,55.6,0.0,77.5,41.9,m2f,512,256
train,98.2,34.1,86.6,14.6,8.1,89.4,92.5,91.4,33.3,40.4,55.1,49.9,55.6,78.0,83.8,80.8,77.4,m2f,512,256
val,98.0,18.7,88.9,14.1,3.0,83.5,94.0,54.1,51.1,15.9,43.6,46.4,70.7,44.4,14.2,86.8,42.5,m2f,512,512
train,99.2,61.3,92.5,31.3,32.6,95.8,96.0,96.5,49.8,64.6,74.8,75.9,71.9,91.6,92.8,91.0,89.4,m2f,512,512
val,97.7,30.6,87.4,17.2,0.3,79.0,94.2,52.7,59.1,25.2,51.0,22.8,62.8,40.6,10.5,86.8,39.4,m2f,512,1024
train,98.9,66.4,93.5,26.6,22.7,91.6,96.8,92.9,59.6,67.5,80.2,39.6,73.9,79.6,91.1,92.3,84.5,m2f,512,1024
val,97.0,35.8,82.6,13.5,0.4,76.0,89.4,52.9,55.9,23.9,52.4,8.5,41.2,39.7,6.4,85.2,34.1,m2f,512,1536
train,97.8,63.0,89.1,16.2,5.6,82.3,92.7,91.7,58.9,45.4,78.8,14.6,59.3,62.5,42.4,90.9,62.4,m2f,512,1536
val,95.8,7.9,78.4,5.3,0.1,67.9,74.4,50.6,47.7,14.6,47.0,1.0,30.3,32.3,0.8,84.1,30.9,m2f,512,2048
train,96.5,44.1,84.4,7.4,1.9,75.8,77.9,89.4,51.7,33.9,66.6,7.2,40.4,52.1,22.2,86.4,50.4,m2f,512,2048
val,96.7,0.0,81.3,0.0,0.0,76.5,89.4,66.9,32.5,0.0,45.0,35.7,62.7,19.7,0.0,77.7,39.0,m2f,1024,256
train,97.2,24.4,83.9,9.1,0.0,76.8,91.6,90.0,32.0,34.9,34.1,21.9,44.2,37.8,0.0,76.8,59.1,m2f,1024,256
val,97.9,0.0,88.5,25.3,3.4,84.4,93.6,75.9,48.4,22.9,48.0,39.3,73.9,60.0,0.0,86.0,57.5,m2f,1024,512
